動畫名稱,ID,集數,年份,季節,字幕組
異世界悠閒紀行～邊養娃邊當冒險者～,1501,1-12,2024,夏,
我的妻子不具感情,1473,1-12,2024,夏,
從路人角色開始的探索英雄譚,1492,1-12,2024,夏,喵萌奶茶屋
魔王軍最強的魔術師是人類,1471,1-12,2024,夏,
異世界自殺突擊隊,1472,1-10,2024,夏,悠哈璃羽
雀魂 KANG!!,1515,1-13,2024,春,桜都
魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～ 第二季,1183,1-24,2023/2024,冬/春,
失憶投捕,1452,1-12,2024,春,
Girls Band Cry,1440,1-13,2024,春,喵萌奶茶屋
鬼滅之刃 柱訓練篇,1468,1-8,2024,春,
隊長小翼Season2 青少年篇,1315,1-39,2023,秋,
吹響吧！上低音號 第三季,1448,1-13,2024,春,
無職轉生II～到了異世界就拿出真本事～ (第二季),1270,0-24,2023/2024,夏/春,喵萌奶茶屋
怪異與少女與神隱,1459,1-12,2024,春,喵萌奶茶屋
Unnamed Memory 無名記憶,1458,1-12,2024,春,喵萌奶茶屋
終末的火車前往何方？,1427,1-12,2024,春,喵萌奶茶屋
THE NEW GATE,1462,1-12,2024,春,
怪獸 8 號,1461,1-12,2024,春,
魔法科高中的劣等生 第三季,1435,1-13,2024,春,
WIND BREAKER—防風少年—,1431,1-13,2024,春,
格鬥實況,1457,1-12,2024,春,
約會大作戰 V (第五季),1456,1-12,2024,春,
聲優廣播的幕前幕後,1454,1-12,2024,春,喵萌奶茶屋
RINKAI！女子競輪,1453,1-12,2024,春,
花野井同學與戀愛病,1451,1-12,2024,春,
從Lv2開始開外掛的前勇者候補過著悠哉異世界生活,1450,1-12,2024,春,
我回來了、歡迎回家,1464,1-12,2024,春,幻櫻
月光下的異世界之旅 第二幕 (第二季),1393,1-25,2024,冬,
神明渴求著遊戲。,1422,1-13,2024,春,
轉生貴族憑鑑定技能扭轉人生,1447,1-12,2024,春,
蔚藍檔案 The Animation,1446,1-12,2024,春,
死神少爺與黑女僕 第三季,1444,1-12,2024,春,
"<a href=""https://anime1.pw/?cat=43"">明明只是個煙霧彈配角，卻得到完美王子的寵愛。</a>",0,1-8,2024,春,桜都
